word,yes_votes,no_votes
flapjack,98,9
fleshes,88,16
floe,38,31
flue,60,26
flue,45,36
fluted,63,24
foamer,14,92
folio,54,39
footed,111,9
foreplay...,70,16
fores,13,68
fount,56,36
freest,27,77
frilled,82,18
funnies,83,43
gable,46,16
gaffe,113,23
gaffer,67,62
gaga,24,53
gage,22,73
gaggle,112,8
gaily,53,55
galled,18,59
galled,32,59
galosh,13,91
galoshes,68,42
garbed,20,50
geez,42,63
geisha,51,37
gelled,70,33
gelled,75,19
gelling,58,42
genteel,49,52
gentile,57,40
geode,77,7
gestalt,18,69
ghast,36,57
gigolo,30,51
gild,101,10
gimbal,31,65
gimbal,25,55
gimme,50,66
gimp,18,18
gingham,54,50
gird,91,16
girder,87,28
girlie,9,61
girly,87,1
giver,90,3
glower,45,44
glub,15,64
glycerol,30,57
gnus,69,34
goiter,29,61
goitre,6,87
goop,69,10
gotta,47,33
gourd,82,8
grammy,15,72
gran,88,18
gratin,48,67
gratis,26,49
grille,60,40
grodier,5,89
grotto,88,11
grounder,44,48
grouse,89,16
grubs,81,2
gulch,87,28
gumdrop,54,13
gunship,49,16
gunship,60,40
gyro,63,6
hailer,15,63
halal,82,18
hale,54,27
haptic,69,37
hardhat,33,53
hardier,93,6
harrow,69,36
harrowing,102,4
harrumph,35,67
hashtag,108,6
hawed,21,63
hawked,46,48
haws,31,26
hayride,51,77
heapy,2,77
hedger,8,27
heifer,44,47
hempen,4,84
herniate,35,59
herniated,73,27
hertz,98,10
hewed,19,36
hewn,59,27
hewn,61,32
hewn,38,16
hews,23,32
hijab,108,8
hiree,26,55
hitcher,26,67
hither,104,10
hoagie,37,50
hocked,31,62
hoeing,58,35
hogtie,43,49
homer,44,37
hominy,29,93
honorific,102,11
hots,61,39
hullabaloo,73,42
humph,24,76
humpy,14,71
husbandry,74,4
hydro,82,29
hydroxide,123,28
ichor,40,36
icily,68,11
ideate,34,56
ideation,82,33
idyll,36,46
idyllic,79,6
iller,29,53
illy,11,49
imam,36,39
impugn,58,46
impute,36,63
impute,13,62
inapt,15,62
incise,60,22
inequity,61,1
inexactly,85,27
iniquity,51,55
inquest,78,27
intel,122,8
internist,24,43
intuitional,46,34
ironer,20,59
isomer,35,41
iterate,148,3
itinerant,57,48
jamb,31,62
jape,26,72
jasper,76,46
jaunted,62,43
jaunting,54,52
java,64,6
jazzed,100,13
jazzier,112,13
jeez,39,59
jelled,15,87
jelling,21,76
jicama,17,68
jiff,19,63
jiffy,78,5
jingly,68,14
jingo,21,72
jingoist,18,75
jitterbug,75,22
joinder,2,83
joiner,74,8
jones,21,91
jonesing,32,81
juke,68,37
jute,60,80
kart,62,21
kazoo,78,2
keno,14,80
kerchief,64,35
kilo,83,6
kimchi,63,22
kismet,27,77
kitted,64,60
knoll,84,10
kook,48,64
kooky,91,23
laconic,55,43
lade,18,69
laden,82,7
lades,9,77
lambast,4,39
lamprey,44,32
lamprey,34,37
lapis,64,56
lapis,57,10
largish,23,62
lariat,20,75
lase,25,69
lased,26,83
latke,56,61
laugher,19,68
layup,78,16
layup,41,33
layups,75,17
leaven,95,27
lecher,22,68
lede,21,47
legalese,73,39
legato,27,41
leis,60,44
letup,15,61
leviathan,90,16
licit,39,55
lien,48,28
lien,46,37
lilt,62,11
lints,25,51
lira,32,49
liveability,68,28
liveness,15,59
livery,51,21
loach,25,58
loam,62,12
loamy,32,58
loamy,55,18
loath,55,4
lodger,74,14
loofah,53,16
loused,23,69
lousiness,84,8
lout,73,36
luau,52,23
lumen,66,20
lynx,105,2
lynxes,100,6
macaron,76,32
macaroon,106,6
macaw,89,3
madden,77,26
mage,72,3
malfeasance,73,36
malinger,33,48
mallard,79,7
mambo,55,35
mandala,61,34
mandolin,101,2
mandrake,39,47
maned,68,25
maneuverable,57,5
manga,58,15
mange,84,29
mange,57,23
mangy,95,16
manila,74,35
manta,44,41
margined,25,50
marlin,85,20
marlin,47,28
mart,63,4
martin,19,71
masquerade,100,5
masterly,32,72
materiel,19,95
maven,52,58
maven,34,59
maws,52,9
maxed,87,5
maxi,37,37
maxim,75,19
mealy,44,12
medial,60,38
melanin,82,5
melty,68,33
mentee,71,40
meth,90,12
metrical,25,71
mewed,70,29
mewl,43,52
mewl,41,48
mews,69,21
mica,46,32
midland,46,38
miller,85,15
miring,26,63
miscall,25,50
miso,66,12
missy,55,51
miter,34,33
monastic,58,37
mook,13,89
moper,42,84
mosey,77,34
moused,19,57
mouser,32,62
moussed,20,60
moussing,15,64
mums,97,8
muni,5,99
munitions,109,5
murkiest,83,4
myrrh,57,33
myrtle,61,56
naan,77,15
nadir,48,35
naiver,17,64
nary,44,34
nascent,64,34
natal,54,6
nave,20,49
nays,60,29
neath,9,81
necked,73,43
nelson,3,110
nimbus,102,19
nimrod,71,35
nimrod,63,31
ninny,44,24
nitrate,55,4
nitric,64,16
nitro,72,8
nitro,74,4
nits,56,19
nock,38,67
noir,74,9
nonbinary,73,10
noninstitutional,70,18
nosh,38,70
nosing,81,32
nubs,80,20
nymph,75,1
oaky,26,77
oared,65,29
oases,22,43
obviate,24,67
octal,37,41
octane,71,5
octant,16,56
odious,97,26
offal,47,29
offal,40,25
ogler,32,73
ohms,43,23
oilier,68,4
oiliest,85,13
oiliest,59,17
okra,99,11
ollie,34,40
oniony,10,99
onus,46,17
onyx,77,2
oohs,41,43
operable,81,4
opus,66,14
orcs,77,28
orcs,75,5
ordination,66,47
ordination,42,31
orgy,96,11
oriole,61,36
orzo,44,44
outstretch,86,15
overact,67,8
overlain,7,51
overlie,7,48
owlery,16,77
oxtail,61,52
pacer,89,10
palely,16,49
palp,11,65
palsy,74,18
panache,65,29
panko,50,62
pansy,82,6
pansy,59,11
paparazzi,109,1
paparazzo,26,94
pastrami,95,20
patchable,68,8
patchouli,36,77
pathos,59,23
patina,73,33
paver,74,8
pecs,56,18
penally,19,56
pence,97,15
peridot,56,31
peso,68,12
peyote,19,60
