word,yes_votes,no_votes
accompanying,0,0
accomplice,0,0
accomplices,0,0
accomplish,0,0
accomplished,0,0
accomplishes,0,0
accomplishing,0,0
accomplishment,0,0
accomplishments,0,0
accord,0,0
accordance,0,0
accordant,0,0
accorded,0,0
according,0,0
accordingly,0,0
accordion,0,0
accordionist,0,0
accordionists,0,0
accordions,0,0
accords,0,0
accost,0,0
accosted,0,0
accosting,0,0
accosts,0,0
account,0,0
accountabilities,0,0
accountability,0,0
accountable,0,0
accountancy,0,0
accountant,0,0
accountants,0,0
accounted,0,0
accounting,0,0
accounts,0,0
accoutrement,0,0
accoutrements,0,0
accredit,0,0
accreditation,0,0
accreditations,0,0
accredited,0,0
accrediting,0,0
accredits,0,0
accrete,0,0
accreted,0,0
accretes,0,0
accreting,0,0
accretion,0,0
accretions,0,0
accretive,0,0
accrual,0,0
accruals,0,0
accrue,0,0
accrued,0,0
accrues,0,0
accruing,0,0
acculturate,0,0
acculturated,0,0
acculturates,0,0
acculturating,0,0
acculturation,0,0
accumulate,0,0
accumulated,0,0
accumulates,0,0
accumulating,0,0
accumulation,0,0
accumulations,0,0
accumulative,0,0
accumulator,0,0
accumulators,0,0
accuracies,0,0
accuracy,0,0
accurate,0,0
accurately,0,0
accursed,0,0
accusation,0,0
accusations,0,0
accusatory,0,0
accuse,0,0
accused,0,0
accuser,0,0
accusers,0,0
accuses,0,0
accusing,0,0
accusingly,0,0
accustom,0,0
accustomed,0,0
accustoming,0,0
accustoms,0,0
ace,0,0
aced,0,0
acellular,0,0
acerbic,33,50
aces,0,0
acetaminophen,0,0
acetate,0,0
acetates,0,0
acetic,0,0
acetone,0,0
acetyl,0,0
acetylcholine,0,0
ache,0,0
ached,0,0
aches,0,0
achier,59,24
achievable,0,0
achieve,0,0
achieved,0,0
achievement,0,0
achievements,0,0
achiever,0,0
achievers,0,0
achieves,0,0
achieving,0,0
aching,0,0
achingly,0,0
achy,0,0
acid,0,0
acidic,0,0
acidification,0,0
acidified,0,0
acidifies,0,0
acidify,0,0
acidifying,0,0
acidity,0,0
acidosis,0,0
acids,0,0
acing,0,0
acknowledge,0,0
acknowledged,0,0
acknowledgement,0,0
acknowledgements,0,0
acknowledges,0,0
acknowledging,0,0
acknowledgment,0,0
acknowledgments,0,0
acme,0,0
acne,0,0
acned,5,72
acolyte,0,0
acolytes,0,0
acorn,0,0
acorns,0,0
acoustic,0,0
acoustical,0,0
acoustically,0,0
acoustics,0,0
acquaint,0,0
acquaintance,0,0
acquaintances,0,0
acquaintanceship,0,0
acquaintanceships,0,0
acquainted,0,0
acquainting,0,0
acquaints,0,0
acquiesce,0,0
acquiesced,0,0
acquiescence,0,0
acquiescent,0,0
acquiesces,0,0
acquiescing,0,0
acquire,0,0
acquired,0,0
acquirer,0,0
acquirers,0,0
acquires,0,0
acquiring,0,0
acquisition,0,0
acquisitions,0,0
acquisitive,0,0
acquisitiveness,0,0
acquit,0,0
acquits,0,0
acquittal,0,0
acquittals,0,0
acquitted,0,0
acquitting,0,0
acre,0,0
acreage,0,0
acreages,0,0
acres,0,0
acrid,0,0
acrimonious,0,0
acrimoniously,0,0
acrimony,72,45
acrobat,0,0
acrobatic,0,0
acrobatically,0,0
acrobatics,0,0
acrobats,0,0
acronym,0,0
acronyms,0,0
acrophobia,64,34
acrophobic,62,35
acropolis,0,0
acropolises,0,0
across,0,0
acrostic,0,0
acrostics,0,0
acrylic,0,0
acrylics,0,0
act,0,0
acted,0,0
acting,0,0
actinide,0,0
actinides,0,0
actinium,0,0
action,0,0
actionable,0,0
actions,0,0
activate,0,0
activated,0,0
activates,0,0
activating,0,0
activation,0,0
activations,0,0
activator,0,0
activators,0,0
active,0,0
actively,0,0
activeness,0,0
actives,0,0
activewear,0,0
activism,0,0
activist,0,0
activists,0,0
activities,0,0
activity,0,0
actor,0,0
actors,0,0
actress,0,0
actresses,0,0
acts,0,0
actual,0,0
actualisation,0,0
actualise,0,0
actualised,0,0
actualises,0,0
actualising,0,0
actualities,0,0
actuality,0,0
actualization,0,0
actualize,0,0
actualized,0,0
actualizes,0,0
actualizing,0,0
actually,0,0
actuals,0,0
actuarial,0,0
